timestamp,symbol,side,size,price,tickDirection,trdMatchID,grossValue,homeNotional,foreignNotional
1590277698.4253,BTCUSDT,Buy,0.001,9172.5,PlusTick,7d305c1c-4765-5c7e-8efa-47958f06e471,917250000.0,0.001,9.1725
1590277690.8602,BTCUSDT,Buy,0.001,9171.0,PlusTick,8a881444-3a48-54c0-8efa-ed4aa2c9613d,917099999.9999999,0.001,9.171
1590277686.3398,BTCUSDT,Buy,0.047,9170.5,PlusTick,815e87ca-e162-5ae3-b2ca-1c3fc0a03e71,43101350000.0,0.047,431.0135
1590277678.8044,BTCUSDT,Sell,0.621,9170.0,ZeroMinusTick,06f53fb7-648c-539a-8716-b2ef0234d982,569457000000.0,0.621,5694.57
1590277669.453,BTCUSDT,Sell,0.697,9170.0,ZeroMinusTick,dccae3e4-68ed-59df-a10c-5500f8b650b1,639149000000.0,0.697,6391.49
1590277663.795,BTCUSDT,Sell,0.796,9170.0,PlusTick,aff39fdb-38b3-5254-baf5-013668899109,729932000000.0,0.796,7299.32
1590277613.8076,BTCUSDT,Buy,0.005,9168.5,ZeroMinusTick,0ef40f89-460d-5a6a-99f0-1eebcd0e4028,4584250000.0,0.005,45.8425
1590277612.2308,BTCUSDT,Buy,0.02,9168.5,PlusTick,3bcbce90-6713-5664-9821-72d463868b5a,18337000000.0,0.02,183.37
1590277585.5027,BTCUSDT,Sell,0.398,9168.0,ZeroMinusTick,40a3654e-e6bc-5304-95dd-9a4a891934e4,364886400000.0,0.398,3648.864
1590277585.5027,BTCUSDT,Sell,0.001,9168.0,ZeroMinusTick,429776ec-baef-54c6-94c1-94c98440abfa,916799999.9999999,0.001,9.168
1590277585.5027,BTCUSDT,Sell,0.001,9168.0,MinusTick,3158c6a7-2af5-55da-a0f2-4a10e075368f,916799999.9999999,0.001,9.168
1590277581.5387,BTCUSDT,Sell,0.001,9172.0,MinusTick,b7dfc323-6214-5c93-aec5-040a492cb35a,917200000.0000001,0.001,9.172
1590277581.2416,BTCUSDT,Sell,0.001,9172.5,MinusTick,71d4e340-c36a-5334-819a-16eda5923403,917250000.0,0.001,9.1725
